Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Luis Ramirez","MIA",0.0374,0.0608,0,6.14772,1,0,0,0,,1,4.792,1.1057,0.7259,0.68308,0.153556,0.7536,0.0291,0.0548,0.6321,5.6889,6.7824,0.838774,1.382,0.131907,0.157262,-0.025354772806167603,0.277563,1.8593,0.297736,0.689281,0.413202,,6.29236,-0.0213022,-0.0449385,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Luis Ramirez","sa3018353",802092
"Blake Whiting",,0.0389,0.0593,0,6.17661,1,0,0,0,,1,4.773,1.1092,0.7277,0.68629,0.163889,0.7267,0.029,0.0493,0.6429,5.7861,6.5403,0.884684,1.475,0.134695,0.152252,-0.017557084560394287,0.277508,1.8359,0.296316,0.689842,0.393009,,6.30789,-0.0213041,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Blake Whiting","sa3023045",809821
"Mauricio Estrella","SFG",0.0391,0.0591,0,5.80662,1,0,0,0,,1,4.708,1.1261,0.6884,0.64518,0.148444,0.6287,0.0286,0.0519,0.5908,5.3172,5.6583,0.939717,1.336,0.125489,0.133539,-0.008050143718719482,0.27961,1.7548,0.297326,0.689344,0.427895,,5.92511,-0.0213333,-0.049853,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Mauricio Estrella","sa3018857",800442
"Caswell Smith","ARI",0.04,0.0625,0.0077,6.13089,0.8499,0.0319,0,0,,1,4.779,1.1249,0.7246,0.68121,0.144444,0.7338,0.0246,0.0473,0.6468,5.8212,6.6042,0.881439,1.3,0.135342,0.153547,-0.018204644322395325,0.281373,1.8587,0.305756,0.684645,0.423592,,6.06261,-0.0213403,-0.045308,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Caswell Smith","sa3020955",689110
"Eddy Alberto","BAL",0.0399,0.0582,0,6.17346,1,0,0,0,,1,4.782,1.1211,0.729,0.68594,0.161556,0.7339,0.029,0.051,0.6526,5.8734,6.6051,0.889222,1.454,0.13647,0.153471,-0.017001256346702576,0.280478,1.855,0.301464,0.691297,0.422552,,6.28486,-0.0213478,-0.0495964,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Eddy Alberto","sa3019491",805453
"Luke Anderson",,0.039,0.0591,0,6.12522,1,0,0,0,,1,4.794,1.0925,0.723,0.68058,0.156333,0.769,0.0291,0.0513,0.6582,5.9238,6.921,0.855917,1.407,0.137297,0.160409,-0.0231122225522995,0.274933,1.8615,0.296333,0.693094,0.407007,,6.31197,-0.0213487,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Luke Anderson","sa3017984",680093
"Shay Timmer","DET",0.0384,0.0597,0,6.1227,1,0,0,0,,1,4.815,1.1162,0.7241,0.6803,0.147556,0.7673,0.0292,0.0471,0.6003,5.4027,6.9057,0.782354,1.328,0.124673,0.159356,-0.03468327969312668,0.279008,1.8835,0.297793,0.691386,0.422345,,6.29596,-0.0214151,-0.0484118,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Shay Timmer","sa3067086",815272
"Sam Brodersen","STL",0.0396,0.0586,0,5.90409,1,0,0,0,,1,4.773,1.0748,0.6983,0.65601,0.147667,0.7697,0.029,0.0433,0.6724,6.0516,6.9273,0.873587,1.329,0.140876,0.161261,-0.020385488867759705,0.271414,1.8445,0.295272,0.699856,0.405712,,6.149,-0.0214463,-0.0484487,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Sam Brodersen","sa3027731",813291
"Gus Hughes","NYY",0.0404,0.0578,0,6.09957,1,0,0,0,,1,4.755,1.1108,0.7186,0.67773,0.178556,0.6814,0.0289,0.0523,0.6309,5.6781,6.1326,0.925888,1.607,0.132681,0.143302,-0.010620400309562683,0.276229,1.7922,0.290252,0.696138,0.38826,,6.39566,-0.0214476,-0.0499656,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Gus Hughes","sa3034262",694964
"Jeremy Peguero",,0.0397,0.0585,0,5.94171,1,0,0,0,,1,4.829,1.054,0.7025,0.66019,0.146444,0.8393,0.0293,0.0538,0.698,6.282,7.5537,0.831645,1.318,0.144543,0.173804,-0.029260709881782532,0.267791,1.8933,0.293569,0.705334,0.399001,,6.32221,-0.021461,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jeremy Peguero","sa3015429",691707
"Carlos De Los Santos",,0.0389,0.0593,0,6.18579,1,0,0,0,,1,4.787,1.0967,0.7285,0.68731,0.163,0.7528,0.029,0.0492,0.6689,6.0201,6.7752,0.888549,1.467,0.139733,0.157259,-0.017526641488075256,0.275207,1.8495,0.296121,0.69142,0.388998,,6.32234,-0.0214623,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Carlos De Los Santos","sa3005448",678914
"Ettore Giulianelli",,0.0391,0.0591,0,6.09975,1,0,0,0,,1,4.847,1.0584,0.7214,0.67775,0.144222,0.8726,0.0294,0.0469,0.7222,6.4998,7.8534,0.827641,1.298,0.148999,0.180029,-0.031029507517814636,0.269484,1.931,0.298646,0.699559,0.422007,,6.32413,-0.0214819,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ettore Giulianelli","sa3015281",692372
"Luis Vizcaino",,0.0389,0.0592,0,6.16896,1,0,0,0,,1,4.776,1.0927,0.7262,0.68544,0.165556,0.7431,0.029,0.0489,0.6696,6.0264,6.6879,0.90109,1.49,0.140201,0.15559,-0.015389442443847656,0.274272,1.8358,0.29444,0.691761,0.382005,,6.32416,-0.0214823,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Luis Vizcaino","sa3011812",691870
"Kikito Severino",,0.0383,0.0741,0.0261,6.09309,0.5094,0.1044,0,0,,1,4.779,1.1488,0.7214,0.67701,0.153222,0.7087,0.0144,0.0475,0.5347,4.8123,6.3783,0.75448,1.379,0.111885,0.148295,-0.036409296095371246,0.285572,1.8575,0.298535,0.691484,0.428991,,6.32623,-0.0215049,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Kikito Severino","sa3016030",699086
"Ernesto Mercedes","NYM",0.0408,0.07,0.0237,5.89518,0.5613,0.0933,0,0,,1,4.779,1.0386,0.6977,0.65502,0.152556,0.7942,0.0158,0.0584,0.7132,6.4188,7.1478,0.898011,1.373,0.149236,0.166185,-0.016949161887168884,0.264517,1.8328,0.289496,0.701016,0.410826,,6.24976,-0.0215117,-0.0496207,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ernesto Mercedes","sa3018835",800233
"Lewis Sifontes","ATL",0.0411,0.0668,0.0181,6.04323,0.6595,0.0725,0,0,,1,4.772,1.1386,0.715,0.67147,0.151333,0.7133,0.0189,0.0477,0.6018,5.4162,6.4197,0.843684,1.362,0.126111,0.149476,-0.023365452885627747,0.283869,1.8519,0.303041,0.693218,0.42399,,6.18187,-0.0215159,-0.0457233,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Lewis Sifontes","sa3021016",808508
"Liam Rocha",,0.0389,0.0593,0,6.16842,1,0,0,0,,1,4.78,1.1001,0.7269,0.68538,0.162778,0.7488,0.029,0.0446,0.6518,5.8662,6.7392,0.870459,1.465,0.13636,0.156653,-0.02029287815093994,0.275949,1.8489,0.295497,0.692161,0.392998,,6.32785,-0.0215227,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Liam Rocha","sa3023105",814557
"Pedro Alfonseca",,0.0391,0.0591,0,6.09984,1,0,0,0,,1,4.81,1.0942,0.7216,0.67776,0.149222,0.7845,0.0292,0.0597,0.6391,5.7519,7.0605,0.814659,1.343,0.132869,0.163098,-0.03022867441177368,0.275909,1.8787,0.297399,0.692962,0.427994,,6.32943,-0.02154,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Pedro Alfonseca","sa918899",670184
"Sunayro Martina","NYY",0.0398,0.0705,0.0216,6.11802,0.5786,0.0896,0,0,,1,4.79,1.1249,0.7244,0.67978,0.163778,0.7167,0.0165,0.0602,0.5939,5.3451,6.4503,0.828659,1.474,0.123987,0.149624,-0.025636747479438782,0.280307,1.8416,0.295237,0.692918,0.439808,,6.40715,-0.0215709,-0.0499656,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Sunayro Martina","sa3022106",806103
"Dylan Lesko","TBR",0.0379,0.0639,0.005,6.21423,0.8738,0.0268,0,0,,1,4.807,1.0388,0.7305,0.69047,0.175444,0.8118,0.0254,0.0621,0.7952,7.1568,7.3062,0.979552,1.579,0.165425,0.168879,-0.003453299403190613,0.264117,1.8506,0.291432,0.697891,0.37101,,6.44721,-0.021573,-0.047529,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Dylan Lesko","sa3020677",702266
"Jordy Luciano",,0.0389,0.0592,0,6.13008,1,0,0,0,,1,4.829,1.1035,0.7259,0.68112,0.144778,0.8056,0.0293,0.0538,0.6315,5.6835,7.2504,0.783888,1.303,0.130772,0.166825,-0.036053016781806946,0.277988,1.9091,0.300227,0.693385,0.440999,,6.33245,-0.0215731,-0.0470323,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jordy Luciano","sa3019179",802742
"Wilber Dotel","PIT",0.625,0.7489,0,4.43998,14,0,0,0.6358,,14,60.923,13.9646,7.4055,6.90664,1.88378,5.4164,0.3697,0.6936,11.7801,7.57292,3.48197,2.17489,1.211,0.19336,0.0889057,0.10445479303598404,0.254768,1.38436,0.293586,0.715224,0.39188,,4.51077,-0.0215797,0.0547803,999,,,,,,,52.6,3.757142857142857,54,3.857142857142857,8.61,6.6,5.44,4.62,3.96,3.4,2.89,2.38,1.82,5.51,5.23,5.03,4.87,4.73,4.59,4.44,4.27,4.05,"Wilber Dotel","sa3015163",696062
