Player,Position,Age,Prev_Team,Prev_AAV,Market_Value,Arm,Type,AAV_cost
Nestor Cortes,SP,30.9,SD,"$8,300,000 ","$12,029,398 ",L,UFA,8300000.0
Ryan Helsley,RP,31.3,NYM,"$8,200,000 ","$13,643,260 ",R,UFA,8200000.0
Emilio Pagan,RP,34.5,CIN,"$8,000,000 ","$12,342,310 ",R,UFA,8000000.0
Lane Thomas,RF,30.2,CLE,"$7,850,000 ","$2,477,518 ",R,UFA,7850000.0
Tommy Kahnle,RP,36.2,DET,"$7,750,000 ","$4,883,153 ",R,UFA,7750000.0
Jesse Winker,LF,32.2,NYM,"$7,500,000 ","$5,476,041 ",L,UFA,7500000.0
Isiah Kiner-Falefa,2B,30.7,TOR,"$7,500,000 ","$5,310,705 ",R,UFA,7500000.0
Devin Williams,RP,31.2,NYY,"$7,250,000 ","$5,748,828 ",R,UFA,7250000.0
Pierce Johnson,RP,34.5,ATL,"$7,125,000 ","$8,294,729 ",R,UFA,7125000.0
Jake Junis,RP,33.2,CLE,"$7,000,000 ","$3,873,859 ",R,UFA,7000000.0
Paul Sewald,RP,35.4,DET,"$7,000,000 ","$4,351,713 ",R,UFA,7000000.0
Michael Lorenzen,SP,33.8,KC,"$7,000,000 ","$14,795,066 ",R,UFA,7000000.0
Adolis García,RF,32.7,TEX,"$7,000,000 ",,,,7000000.0
Willi Castro,SS,28.6,CHC,"$6,800,000 ","$10,911,590 ",S,UFA,6800000.0
Harrison Bader,CF,31.4,PHI,"$6,250,000 ","$10,043,882 ",R,UFA,6250000.0
Evan Phillips,RP,31.2,LAD,"$6,100,000 ",,,,6100000.0
Paul Blackburn,RP,31.9,NYY,"$6,000,000 ",,R,UFA,6000000.0
Kyle Finnegan,RP,34.2,DET,"$6,000,000 ","$9,972,847 ",R,UFA,6000000.0
Justin Turner,DH,41.0,CHC,"$6,000,000 ","$3,579,315 ",R,UFA,6000000.0
Josh Bell,DH,33.2,WSH,"$6,000,000 ","$11,241,956 ",S,UFA,6000000.0
Victor Caratini,C,32.2,HOU,"$6,000,000 ","$2,272,583 ",S,UFA,6000000.0
Zack Littell,SP,30.1,CIN,"$6,000,000 ","$12,884,683 ",R,UFA,6000000.0
Gregory Soto,RP,30.8,NYM,"$5,820,000 ","$7,045,581 ",L,UFA,5820000.0
Luke Jackson,RP,34.2,SEA,"$5,750,000 ",,R,UFA,5750000.0
Tyler Rogers,RP,34.9,NYM,"$5,700,000 ","$11,349,396 ",R,UFA,5700000.0
Chris Martin,RP,39.4,TEX,"$5,500,000 ","$6,773,963 ",R,UFA,5500000.0
Wilmer Flores,1B,34.2,SF,"$5,500,000 ","$2,027,455 ",R,UFA,5500000.0
Miguel Rojas,SS,36.8,LAD,"$5,500,000 ","$3,565,231 ",R,UFA,5500000.0
Jonah Heim,C,30.3,TEX,"$5,210,000 ",,,,5210000.0
Austin Gomber,SP,32.0,CHC,"$5,200,000 ","$2,703,261 ",L,UFA,5200000.0
David Fletcher,2B,31.4,ATL,"$5,200,000 ",,R,UFA,5200000.0
Michael Kopech,SP,29.5,LAD,"$5,200,000 ",,R,UFA,5200000.0
Jorge Polanco,2B,32.3,SEA,"$5,150,000 ","$14,587,460 ",S,UFA,5150000.0
Jason Heyward,RF,36.2,,"$5,000,000 ",,L,UFA,5000000.0
Randal Grichuk,RF,34.2,KC,"$5,000,000 ","$4,075,227 ",R,UFA,5000000.0
Austin Hays,LF,30.3,CIN,"$5,000,000 ","$5,130,768 ",R,UFA,5000000.0
Martín Pérez,SP,34.6,CHW,"$5,000,000 ","$5,878,182 ",L,UFA,5000000.0
Andrew McCutchen,DH,39.1,PIT,"$5,000,000 ","$5,279,700 ",R,UFA,5000000.0
Jonathan Loaisiga,RP,31.0,NYY,"$5,000,000 ","$4,559,902 ",R,UFA,5000000.0
Liam Hendriks,RP,36.8,BOS,"$5,000,000 ",,R,UFA,5000000.0
Trent Grisham QO,CF,29.0,NYY,"$5,000,000 ","$12,052,666 ",L,UFA,5000000.0
Andrew Chafin,RP,35.4,LAA,"$4,750,000 ","$4,186,023 ",L,UFA,4750000.0
Ryne Stanek,RP,34.2,NYM,"$4,500,000 ","$3,926,271 ",R,UFA,4500000.0
Adam Frazier,2B,33.9,KC,"$4,500,000 ","$4,053,887 ",L,UFA,4500000.0
Ryan Brasier,RP,38.2,CHC,"$4,500,000 ","$1,449,100 ",R,UFA,4500000.0
Ramon Urias,3B,31.4,HOU,"$4,410,000 ",,,,4410000.0
Griffin Canning,SP,29.5,NYM,"$4,250,000 ","$4,684,684 ",R,UFA,4250000.0
Chris Paddack,RP,29.8,DET,"$4,175,000 ","$10,496,237 ",R,UFA,4175000.0
Tom Murphy,C,34.6,SF,"$4,125,000 ",,R,UFA,4125000.0
Tommy Pham,RF,37.7,PIT,"$4,025,000 ","$6,728,516 ",R,UFA,4025000.0
Jose Quintana,SP,36.8,MIL,"$4,000,000 ","$3,375,000 ",L,UFA,4000000.0
Thairo Estrada,2B,29.8,COL,"$4,000,000 ","$3,605,511 ",R,UFA,4000000.0
Pete Fairbanks,RP,31.9,TB,"$4,000,000 ","$13,777,684 ",R,UFA,4000000.0
Hunter Harvey,RP,30.9,KC,"$3,700,000 ","$5,521,700 ",R,UFA,3700000.0
Seranthony Dominguez,RP,31.0,TOR,"$3,625,000 ","$10,735,684 ",R,UFA,3625000.0
Jorge Mateo,SS,30.4,BAL,"$3,550,000 ","$3,083,418 ",R,UFA,3550000.0
Elias Diaz,C,35.0,SD,"$3,500,000 ","$2,428,009 ",R,UFA,3500000.0
Ryan O'Hearn,DH,32.2,SD,"$3,500,000 ","$11,461,450 ",L,UFA,3500000.0
Kyle Farmer,SS,35.2,COL,"$3,250,000 ","$3,030,013 ",R,UFA,3250000.0
Jason Foley,RP,30.0,DET,"$3,150,000 ",,,,3150000.0
Scott McGough,RP,36.0,ATH,"$3,125,000 ",,R,UFA,3125000.0
Jose Iglesias,3B,35.8,SD,"$3,000,000 ","$1,405,511 ",R,UFA,3000000.0
Caleb Ferguson,RP,29.3,SEA,"$3,000,000 ","$3,415,954 ",L,UFA,3000000.0
Gary Sánchez,DH,32.9,BAL,"$3,000,000 ","$4,307,630 ",R,UFA,3000000.0
Derek Law,RP,35.2,WSH,"$3,000,000 ",,R,UFA,3000000.0
Brent Suter,RP,36.2,CIN,"$3,000,000 ","$4,416,313 ",L,UFA,3000000.0
Miguel Andujar,3B,30.7,CIN,"$3,000,000 ","$6,100,875 ",R,UFA,3000000.0
Caleb Thielbar,RP,38.8,CHC,"$2,750,000 ","$5,410,297 ",L,UFA,2750000.0
MJ Melendez,LF,26.9,KC,"$2,650,000 ",,,,2650000.0
Scott Barlow,RP,32.9,CIN,"$2,500,000 ","$2,626,781 ",R,UFA,2500000.0
Hoby Milner,RP,34.8,TEX,"$2,500,000 ","$4,054,698 ",L,UFA,2500000.0
Mark Leiter Jr.,RP,34.7,NYY,"$2,400,000 ",,,,2400000.0
Danny Coulombe,RP,36.0,TEX,"$2,300,000 ","$4,305,846 ",L,UFA,2300000.0
Alek Manoah,SP,27.8,ATL,"$2,300,000 ",,,,2300000.0
Justin Wilson,RP,38.2,BOS,"$2,250,000 ","$1,465,475 ",L,UFA,2250000.0
Dustin May,SP,28.2,BOS,"$2,135,000 ","$3,853,335 ",R,UFA,2135000.0
Tyler Kinley,RP,34.8,ATL,"$2,083,333 ","$2,816,957 ",R,UFA,2083333.0
Brendan Rodgers,2B,29.2,HOU,"$2,000,000 ","$2,729,063 ",R,UFA,2000000.0
